Alpha,Algorithm,Content_Type,Category,Mean_Delay,Std_Delay,Median_Delay,Min_Delay,Max_Delay,P95_Delay,Sample_Count
0.25,LRU,grid,II,0.0010000000000000002,2.168404344971009e-19,0.001,0.001,0.001,0.001,12967
0.25,LRU,grid,III,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,10956
0.25,LRU,grid,IV,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,9778
0.25,Popularity,UAV,III,0.018936333333333333,0.012686747582506016,0.027522,0.001,0.028287,0.0282105,3
0.25,Popularity,grid,II,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,14206
0.25,Popularity,grid,III,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,11772
0.25,Popularity,grid,IV,0.0010000000000000002,2.168404344971009e-19,0.001,0.001,0.001,0.001,10769
0.25,MAB_Original,UAV,II,0.347369,0.0,0.347369,0.347369,0.347369,0.347369,1
0.25,MAB_Original,grid,II,0.0010000000000000002,2.168404344971009e-19,0.001,0.001,0.001,0.001,12674
0.25,MAB_Original,grid,III,0.0010000000000000002,2.168404344971009e-19,0.001,0.001,0.001,0.001,10453
0.25,MAB_Original,grid,IV,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,9820
0.25,MAB_Contextual,UAV,III,0.001,0.0,0.001,0.001,0.001,0.001,4
0.25,MAB_Contextual,UAV,IV,0.11283266666666668,0.15815527391634954,0.001,0.001,0.336498,0.3029482,3
0.25,MAB_Contextual,grid,II,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,11341
0.25,MAB_Contextual,grid,III,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,9534
0.25,MAB_Contextual,grid,IV,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,8573
1.0,MAB_Contextual,UAV,II,0.010268919999999999,0.050823862650992334,0.001,0.001,0.348428,0.001,225
1.0,MAB_Contextual,UAV,III,0.002107336633663367,0.005049687311713837,0.001,0.001,0.028514,0.001,101
1.0,MAB_Contextual,UAV,IV,0.05655459259259258,0.17845141744614335,0.001,0.001,0.66781,0.6656974,54
1.0,MAB_Contextual,grid,II,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,18343
1.0,MAB_Contextual,grid,III,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,9180
1.0,MAB_Contextual,grid,IV,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,6140
