Alpha,Algorithm,Content_Type,Category,Mean_Delay,Std_Delay,Median_Delay,Min_Delay,Max_Delay,P95_Delay,Sample_Count
1.0,MAB_Contextual,satellite,I,1.7458713947482953,1.6067887321637857,3.222629,0.001,3.229879,3.228196,6893
1.0,MAB_Contextual,satellite,II,0.005800411623542443,0.0403785558465561,0.001,0.001,0.349882,0.001,32503
1.0,MAB_Contextual,satellite,III,0.002613755708063878,0.006493460708587982,0.001,0.001,0.032836,0.0265342,7577
1.0,MAB_Contextual,UAV,II,0.2050081855636124,0.1427143551889422,0.178189,0.001,0.349705,0.34818594999999997,3034
1.0,MAB_Contextual,UAV,III,0.01579259667337642,0.012005447956606604,0.018581,0.001,0.033045,0.0309101,9439
1.0,MAB_Contextual,UAV,IV,0.39650917238267147,0.2698921943458294,0.3381765,0.001,0.669733,0.66806425,2216
1.0,MAB_Contextual,grid,II,0.0010000000000000002,2.168404344971009e-19,0.001,0.001,0.001,0.001,5513
1.0,MAB_Contextual,grid,III,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,4059
1.0,MAB_Contextual,grid,IV,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,3315
