Alpha,Algorithm,Rows,Total_Samples,Weighted_Mean_Delay,Weighted_P95_Delay
0.25,LRU,9,61096,0.1406522121579153,0.47977376015287415
0.25,Enhanced_Federated_MAB_EnergyAware,9,69187,0.15007283467992538,0.30904136592857034
0.25,MAB_Contextual_EnergyAware,9,62619,0.15106511629058272,0.3283557473785912
0.25,Federated_MAB_EnergyAware,9,66355,0.16202374853439824,0.3247291978358827
0.25,MAB_Contextual,9,64542,0.16455974083542496,0.33665871169625977
0.25,MAB_Original,9,66405,0.2913234042767864,0.49430150978088994
0.25,Enhanced_Federated_MAB,9,62349,0.3250993816901634,0.34898578346244524
0.25,Popularity,9,59044,0.39166975458979736,0.5116003656764446
0.5,LRU,9,64498,0.1555026901454308,0.48687621168253276
0.5,Federated_MAB_EnergyAware,9,63339,0.15660941611013746,0.3375817549045612
0.5,MAB_Contextual,9,67015,0.16293187757964636,0.32363690625382385
0.5,MAB_Contextual_EnergyAware,9,67278,0.16495658274621716,0.32242275206605425
0.5,Enhanced_Federated_MAB_EnergyAware,9,62449,0.1919126719563163,0.34590011875290233
0.5,MAB_Original,9,60401,0.3001926953527259,0.5036254719143722
0.5,Enhanced_Federated_MAB,9,68149,0.30855768689195734,0.329086912751471
0.5,Popularity,9,63161,0.3887492554741058,0.4924661631196466
1.0,MAB_Contextual,9,65821,0.14897009639780615,0.33476601603743483
1.0,Federated_MAB_EnergyAware,9,65999,0.16601545185533118,0.3193812368232852
1.0,Enhanced_Federated_MAB_EnergyAware,9,64163,0.1688472159032464,0.33203620436076864
1.0,LRU,9,61291,0.17287138452627623,0.4960946521136871
1.0,MAB_Contextual_EnergyAware,9,37746,0.2096704806337095,0.36995121459492397
1.0,MAB_Original,9,61083,0.25320921441317545,0.5197321679829084
1.0,Enhanced_Federated_MAB,9,64999,0.31037498230742017,0.33254928757673197
1.0,Popularity,9,67766,0.366073397780598,0.47198889169642594
2.0,MAB_Contextual,9,64332,0.15062318647018588,0.33243716350338864
2.0,Federated_MAB_EnergyAware,9,66083,0.16072963498933157,0.31787574601637336
2.0,MAB_Contextual_EnergyAware,9,67241,0.16127744904150743,0.33308473307059683
2.0,Enhanced_Federated_MAB_EnergyAware,9,62677,0.17544438454297426,0.35508300030633244
2.0,LRU,9,56567,0.17615351225979808,0.5217373421729984
2.0,Enhanced_Federated_MAB,9,69911,0.3037307794767633,0.3245458708572328
2.0,MAB_Original,9,61298,0.30695376607719665,0.49373747184899996
2.0,Popularity,9,59685,0.4103232033844349,0.5330156862494765
